
There are 4566 gene names (or gene product names) detected
----------------------------------
Gene and count sorted by gene name
----------------------------------
39 instances of CDS,OG0000723
39 instances of CDS,OG0000725
39 instances of CDS,OG0000726
39 instances of CDS,OG0000727
39 instances of CDS,OG0000728
39 instances of CDS,OG0000729
39 instances of CDS,OG0000731
39 instances of CDS,OG0000732
39 instances of CDS,OG0000733
39 instances of CDS,OG0000734
38 instances of CDS,OG0000737
39 instances of CDS,OG0000738
39 instances of CDS,OG0000739
39 instances of CDS,OG0000740
34 instances of CDS,OG0000741
38 instances of CDS,OG0000742
39 instances of CDS,OG0000743
39 instances of CDS,OG0000744
39 instances of CDS,OG0000746
37 instances of CDS,OG0000753
38 instances of CDS,OG0000754
37 instances of CDS,OG0000758
38 instances of CDS,OG0000759
38 instances of CDS,OG0000761
36 instances of CDS,OG0000762
38 instances of CDS,OG0000763
38 instances of CDS,OG0000766
37 instances of CDS,OG0000767
38 instances of CDS,OG0000768
38 instances of CDS,OG0000770
38 instances of CDS,OG0000773
34 instances of CDS,OG0000775
38 instances of CDS,OG0000776
37 instances of CDS,OG0000777
35 instances of CDS,OG0000779
38 instances of CDS,OG0000781
38 instances of CDS,OG0000782
38 instances of CDS,OG0000783
38 instances of CDS,OG0000785
38 instances of CDS,OG0000786
38 instances of CDS,OG0000787
38 instances of CDS,OG0000788
38 instances of CDS,OG0000791
38 instances of CDS,OG0000792
38 instances of CDS,OG0000794
37 instances of CDS,OG0000795
38 instances of CDS,OG0000797
38 instances of CDS,OG0000798
38 instances of CDS,OG0000799
38 instances of CDS,OG0000800
38 instances of CDS,OG0000801
38 instances of CDS,OG0000803
37 instances of CDS,OG0000804
38 instances of CDS,OG0000805
38 instances of CDS,OG0000808
38 instances of CDS,OG0000812
37 instances of CDS,OG0000813
38 instances of CDS,OG0000814
38 instances of CDS,OG0000815
38 instances of CDS,OG0000816
37 instances of CDS,OG0000818
38 instances of CDS,OG0000820
38 instances of CDS,OG0000824
38 instances of CDS,OG0000825
38 instances of CDS,OG0000826
38 instances of CDS,OG0000827
38 instances of CDS,OG0000828
38 instances of CDS,OG0000829
38 instances of CDS,OG0000830
38 instances of CDS,OG0000831
38 instances of CDS,OG0000834
38 instances of CDS,OG0000835
38 instances of CDS,OG0000836
37 instances of CDS,OG0000837
38 instances of CDS,OG0000838
38 instances of CDS,OG0000839
38 instances of CDS,OG0000840
38 instances of CDS,OG0000842
38 instances of CDS,OG0000843
38 instances of CDS,OG0000844
38 instances of CDS,OG0000845
38 instances of CDS,OG0000849
38 instances of CDS,OG0000850
38 instances of CDS,OG0000851
38 instances of CDS,OG0000852
38 instances of CDS,OG0000853
38 instances of CDS,OG0000854
38 instances of CDS,OG0000855
38 instances of CDS,OG0000856
38 instances of CDS,OG0000858
37 instances of CDS,OG0000860
37 instances of CDS,OG0000861
38 instances of CDS,OG0000862
38 instances of CDS,OG0000863
38 instances of CDS,OG0000865
38 instances of CDS,OG0000866
38 instances of CDS,OG0000867
38 instances of CDS,OG0000868
38 instances of CDS,OG0000871
37 instances of CDS,OG0000872
38 instances of CDS,OG0000874
37 instances of CDS,OG0000877
38 instances of CDS,OG0000878
38 instances of CDS,OG0000881
38 instances of CDS,OG0000882
38 instances of CDS,OG0000883
37 instances of CDS,OG0000884
38 instances of CDS,OG0000885
38 instances of CDS,OG0000886
37 instances of CDS,OG0000887
38 instances of CDS,OG0000888
37 instances of CDS,OG0000889
38 instances of CDS,OG0000891
38 instances of CDS,OG0000893
37 instances of CDS,OG0000897
37 instances of CDS,OG0000899
37 instances of CDS,OG0000901
37 instances of CDS,OG0000902
37 instances of CDS,OG0000903
37 instances of CDS,OG0000904
37 instances of CDS,OG0000906
37 instances of CDS,OG0000907
37 instances of CDS,OG0000908
37 instances of CDS,OG0000909
37 instances of CDS,OG0000910
37 instances of CDS,OG0000911
37 instances of CDS,OG0000912
37 instances of CDS,OG0000914
37 instances of CDS,OG0000915
36 instances of CDS,OG0000916
37 instances of CDS,OG0000919
37 instances of CDS,OG0000920
37 instances of CDS,OG0000921
37 instances of CDS,OG0000922
37 instances of CDS,OG0000925
37 instances of CDS,OG0000926
37 instances of CDS,OG0000928
36 instances of CDS,OG0000929
37 instances of CDS,OG0000931
37 instances of CDS,OG0000932
37 instances of CDS,OG0000933
37 instances of CDS,OG0000934
37 instances of CDS,OG0000937
37 instances of CDS,OG0000940
37 instances of CDS,OG0000941
37 instances of CDS,OG0000942
37 instances of CDS,OG0000943
37 instances of CDS,OG0000944
37 instances of CDS,OG0000946
36 instances of CDS,OG0000947
37 instances of CDS,OG0000950
37 instances of CDS,OG0000951
37 instances of CDS,OG0000952
37 instances of CDS,OG0000953
36 instances of CDS,OG0000954
37 instances of CDS,OG0000955
37 instances of CDS,OG0000956
37 instances of CDS,OG0000957
37 instances of CDS,OG0000958
37 instances of CDS,OG0000959
36 instances of CDS,OG0000963
37 instances of CDS,OG0000964
37 instances of CDS,OG0000965
36 instances of CDS,OG0000967
37 instances of CDS,OG0000970
37 instances of CDS,OG0000971
37 instances of CDS,OG0000972
37 instances of CDS,OG0000973
37 instances of CDS,OG0000975
37 instances of CDS,OG0000976
37 instances of CDS,OG0000977
37 instances of CDS,OG0000980
37 instances of CDS,OG0000981
37 instances of CDS,OG0000983
37 instances of CDS,OG0000984
37 instances of CDS,OG0000985
37 instances of CDS,OG0000986
37 instances of CDS,OG0000987
37 instances of CDS,OG0000988
37 instances of CDS,OG0000990
37 instances of CDS,OG0000992
37 instances of CDS,OG0000993
32 instances of CDS,OG0000994
37 instances of CDS,OG0000995
37 instances of CDS,OG0000996
37 instances of CDS,OG0000997
37 instances of CDS,OG0000999
37 instances of CDS,OG0001001
37 instances of CDS,OG0001002
34 instances of CDS,OG0001003
37 instances of CDS,OG0001004
37 instances of CDS,OG0001006
37 instances of CDS,OG0001007
37 instances of CDS,OG0001009
37 instances of CDS,OG0001010
37 instances of CDS,OG0001012
36 instances of CDS,OG0001013
37 instances of CDS,OG0001014
37 instances of CDS,OG0001015
34 instances of CDS,OG0001016
37 instances of CDS,OG0001017
37 instances of CDS,OG0001018
37 instances of CDS,OG0001019
37 instances of CDS,OG0001020
37 instances of CDS,OG0001023
36 instances of CDS,OG0001024
37 instances of CDS,OG0001025
37 instances of CDS,OG0001026
37 instances of CDS,OG0001027
37 instances of CDS,OG0001028
36 instances of CDS,OG0001029
37 instances of CDS,OG0001031
37 instances of CDS,OG0001032
36 instances of CDS,OG0001033
37 instances of CDS,OG0001034
37 instances of CDS,OG0001035
37 instances of CDS,OG0001036
37 instances of CDS,OG0001037
37 instances of CDS,OG0001038
37 instances of CDS,OG0001039
36 instances of CDS,OG0001040
37 instances of CDS,OG0001041
37 instances of CDS,OG0001042
37 instances of CDS,OG0001044
37 instances of CDS,OG0001045
37 instances of CDS,OG0001047
36 instances of CDS,OG0001048
37 instances of CDS,OG0001049
37 instances of CDS,OG0001050
37 instances of CDS,OG0001053
37 instances of CDS,OG0001056
37 instances of CDS,OG0001058
36 instances of CDS,OG0001059
37 instances of CDS,OG0001060
37 instances of CDS,OG0001061
37 instances of CDS,OG0001062
37 instances of CDS,OG0001063
37 instances of CDS,OG0001064
37 instances of CDS,OG0001065
37 instances of CDS,OG0001066
37 instances of CDS,OG0001067
37 instances of CDS,OG0001068
37 instances of CDS,OG0001070
37 instances of CDS,OG0001071
35 instances of CDS,OG0001072
37 instances of CDS,OG0001073
37 instances of CDS,OG0001074
36 instances of CDS,OG0001075
37 instances of CDS,OG0001077
37 instances of CDS,OG0001078
37 instances of CDS,OG0001079
37 instances of CDS,OG0001080
37 instances of CDS,OG0001081
37 instances of CDS,OG0001083
37 instances of CDS,OG0001084
37 instances of CDS,OG0001085
37 instances of CDS,OG0001086
37 instances of CDS,OG0001088
37 instances of CDS,OG0001089
37 instances of CDS,OG0001093
33 instances of CDS,OG0001094
37 instances of CDS,OG0001095
33 instances of CDS,OG0001102
36 instances of CDS,OG0001103
36 instances of CDS,OG0001104
36 instances of CDS,OG0001105
36 instances of CDS,OG0001106
36 instances of CDS,OG0001108
36 instances of CDS,OG0001109
36 instances of CDS,OG0001110
36 instances of CDS,OG0001111
36 instances of CDS,OG0001112
36 instances of CDS,OG0001113
33 instances of CDS,OG0001114
36 instances of CDS,OG0001115
36 instances of CDS,OG0001117
36 instances of CDS,OG0001118
36 instances of CDS,OG0001121
36 instances of CDS,OG0001122
36 instances of CDS,OG0001125
36 instances of CDS,OG0001127
36 instances of CDS,OG0001128
36 instances of CDS,OG0001130
36 instances of CDS,OG0001131
36 instances of CDS,OG0001132
35 instances of CDS,OG0001133
