
There are 4878 gene names (or gene product names) detected
----------------------------------
Gene and count sorted by gene name
----------------------------------
39 instances of CDS,OG0000694
39 instances of CDS,OG0000695
39 instances of CDS,OG0000696
39 instances of CDS,OG0000697
39 instances of CDS,OG0000698
39 instances of CDS,OG0000699
38 instances of CDS,OG0000700
39 instances of CDS,OG0000701
37 instances of CDS,OG0000703
39 instances of CDS,OG0000704
39 instances of CDS,OG0000705
39 instances of CDS,OG0000706
38 instances of CDS,OG0000707
39 instances of CDS,OG0000709
39 instances of CDS,OG0000710
39 instances of CDS,OG0000711
39 instances of CDS,OG0000713
39 instances of CDS,OG0000714
39 instances of CDS,OG0000716
39 instances of CDS,OG0000717
39 instances of CDS,OG0000718
39 instances of CDS,OG0000720
39 instances of CDS,OG0000721
39 instances of CDS,OG0000723
39 instances of CDS,OG0000724
39 instances of CDS,OG0000725
39 instances of CDS,OG0000726
39 instances of CDS,OG0000727
39 instances of CDS,OG0000728
39 instances of CDS,OG0000729
39 instances of CDS,OG0000730
39 instances of CDS,OG0000731
39 instances of CDS,OG0000732
39 instances of CDS,OG0000733
38 instances of CDS,OG0000734
39 instances of CDS,OG0000735
39 instances of CDS,OG0000736
39 instances of CDS,OG0000737
38 instances of CDS,OG0000738
39 instances of CDS,OG0000739
39 instances of CDS,OG0000741
39 instances of CDS,OG0000742
39 instances of CDS,OG0000743
39 instances of CDS,OG0000744
39 instances of CDS,OG0000745
39 instances of CDS,OG0000746
39 instances of CDS,OG0000747
39 instances of CDS,OG0000748
38 instances of CDS,OG0000749
37 instances of CDS,OG0000750
38 instances of CDS,OG0000752
39 instances of CDS,OG0000755
39 instances of CDS,OG0000758
39 instances of CDS,OG0000759
38 instances of CDS,OG0000760
39 instances of CDS,OG0000761
39 instances of CDS,OG0000762
39 instances of CDS,OG0000763
39 instances of CDS,OG0000764
39 instances of CDS,OG0000765
39 instances of CDS,OG0000766
39 instances of CDS,OG0000767
39 instances of CDS,OG0000769
39 instances of CDS,OG0000770
39 instances of CDS,OG0000771
39 instances of CDS,OG0000772
39 instances of CDS,OG0000773
39 instances of CDS,OG0000775
39 instances of CDS,OG0000776
39 instances of CDS,OG0000777
39 instances of CDS,OG0000778
39 instances of CDS,OG0000780
39 instances of CDS,OG0000782
39 instances of CDS,OG0000783
37 instances of CDS,OG0000784
39 instances of CDS,OG0000786
39 instances of CDS,OG0000787
39 instances of CDS,OG0000788
39 instances of CDS,OG0000789
39 instances of CDS,OG0000790
39 instances of CDS,OG0000791
39 instances of CDS,OG0000792
38 instances of CDS,OG0000793
39 instances of CDS,OG0000794
39 instances of CDS,OG0000796
39 instances of CDS,OG0000797
39 instances of CDS,OG0000799
39 instances of CDS,OG0000801
39 instances of CDS,OG0000802
38 instances of CDS,OG0000803
38 instances of CDS,OG0000804
39 instances of CDS,OG0000806
38 instances of CDS,OG0000811
38 instances of CDS,OG0000812
38 instances of CDS,OG0000815
38 instances of CDS,OG0000816
38 instances of CDS,OG0000817
36 instances of CDS,OG0000818
38 instances of CDS,OG0000820
34 instances of CDS,OG0000821
38 instances of CDS,OG0000822
38 instances of CDS,OG0000823
38 instances of CDS,OG0000824
36 instances of CDS,OG0000825
38 instances of CDS,OG0000829
38 instances of CDS,OG0000830
38 instances of CDS,OG0000831
38 instances of CDS,OG0000832
38 instances of CDS,OG0000835
38 instances of CDS,OG0000836
38 instances of CDS,OG0000837
38 instances of CDS,OG0000838
38 instances of CDS,OG0000841
38 instances of CDS,OG0000842
38 instances of CDS,OG0000843
38 instances of CDS,OG0000844
37 instances of CDS,OG0000845
38 instances of CDS,OG0000847
38 instances of CDS,OG0000848
38 instances of CDS,OG0000849
38 instances of CDS,OG0000850
38 instances of CDS,OG0000851
38 instances of CDS,OG0000853
38 instances of CDS,OG0000855
